ALGORITMA,KATEGORI,N_OBSERVASI_TEST,RMSE,MAE,MAPE
LightGBM,AIR MINERAL,85,135.3572944365167,109.47539715547514,33.619763613732346
LightGBM,MINUMAN TEH,85,47.63369351726117,37.0892084948776,25.087105074924555
LightGBM,ROKOK,85,21.158369000617714,16.788680271404946,19.607469242971845
LightGBM,SEMUA_KATEGORI,340,73.00957675831106,43.95886422451469,32.712577298828386
LightGBM,SUSU,85,16.833024079894614,12.48217097630111,52.535971263684814
XGBoost,AIR MINERAL,85,123.9648853222483,102.989794921875,30.171935796008988
XGBoost,MINUMAN TEH,85,46.96926528469427,35.39356348374311,22.594615753911874
XGBoost,ROKOK,85,21.82961309855231,17.266146760828356,20.591243678045913
XGBoost,SEMUA_KATEGORI,340,67.79139217757776,42.54093763127047,38.353212374839416
XGBoost,SUSU,85,18.241566027124833,14.514245358635398,80.05505427139087
